"Complex","Class","R1","HanschPi1","Hammett1","VdW1","R2","HanschPi2","Hammett2","VdW2","R3","HanschPi3","Hammett3","VdW3","R4","HanschPi4","Hammett4","VdW4","R5","HanschPi5","Hammett5","VdW5","R6","HanschPi6","Hammett6","VdW6","Bridge","HanschPi7","Hammett7","VdW7"
"[Ti](/[O+]=C(NC1=CC=C(CC)C=C1)\CC(C)(C)c2cccc2)Cl.c3cccc3.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc(CC)cc1","1.384","-0.042","170.14418999999998","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](/[O+]=C(NC1=CC=C(OC(F)(F)F)C=C1)\CC(C)(C)c2cccc2)Cl.c3cccc3.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc(OC(F)(F)F)cc1","1.384","-0.042","177.91389000000004","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](/[O+]=C(NC1=CC=C(CCC)C=C1)\CC(C)(C)c2cccc2)Cl.c3cccc3.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc(CCC)cc1","1.384","-0.042","184.00149000000005","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](/[O+]=C(NC1=CC=C(F)C=C1)\CC(C)(C)c2cccc2)Cl.c3cccc3.[Cl-]","M","*C(C)(C)CC(=[O+])Nc1ccc(F)cc1","1.384","-0.042","147.29166000000004","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=CC=C2)C(CN(CC)CC)=C1Cc3cccc3.CN4C(Cc5cccc5)=C(CN(CC)CC)C6=C4C=CC=C6","M","*Cc1c(CN(CC)CC)c2ccccc2n1C","1.447","-0.033","180.99773999999996","*Cc1c(CN(CC)CC)c2ccccc2n1C","1.447","-0.033","180.99773999999996","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=C(OC)C=C2)C(CN(CC)CC)=C1c3cccc3.CN4C(Cc5cccc5)=C(CN(CC)CC)C6=C4C=CC(OC)=C6","M","*c1c(CN(CC)CC)c2cc(OC)ccc2n1C","1.262","0.024","188.03852999999998","*Cc1c(CN(CC)CC)c2cc(OC)ccc2n1C","1.447","-0.033","201.89582999999993","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C=C(CN(CC)CC)C(C1=CC=C2)=C2Cc3cccc3.CN(C=C4CN(CC)CC)C5=C4C(Cc6cccc6)=CC=C5","M","*Cc1cccc2c1c(CN(CC)CC)cn2C","2.374","-0.112","180.99773999999996","*Cc1cccc2c1c(CN(CC)CC)cn2C","2.374","-0.112","180.99773999999996","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=C(Br)C=C2)C(Cc3cccc3)=C1.CN4C=C(Cc5cccc5)C6=C4C=CC(Br)=C6","M","*Cc1cn(C)c2ccc(Br)cc12","1.929","-0.201","118.34352","*Cc1cn(C)c2ccc(Br)cc12","1.929","-0.201","118.34352","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=C(Cl)C=C2)C(Cc3cccc3)=C1.CN4C=C(Cc5cccc5)C6=C4C=CC(Cl)=C6","M","*Cc1cn(C)c2ccc(Cl)cc12","1.929","-0.201","115.08345","*Cc1cn(C)c2ccc(Cl)cc12","1.929","-0.201","115.08345","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=C(F)C=C2)C(Cc3cccc3)=C1.CN4C=C(Cc5cccc5)C6=C4C=CC(F)=C6","M","*Cc1cn(C)c2ccc(F)cc12","1.929","-0.201","107.76231000000001","*Cc1cn(C)c2ccc(F)cc12","1.929","-0.201","107.76231000000001","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
